"round","newround.time","choice.time","buttonpress.time","conf.time","reveal.time","choice.location","choice.class","outcome","win.prob","exputil","exputil.gamble","pot.payoff","payoff","rpe","fictive"
48,223.323000154,224.089000187,225.367000065,225.387000046,225.912000141,"Left","Safebet","WouldHaveLost",0.2,10,5,25,10,0,10
49,226.933999977,227.701000175,229.020000181,229.04100009,229.567000113,"Right","Safebet","WouldHaveLost",0.3,10,4.5,15,10,0,10
50,230.589000187,231.354999981,233.048999987,233.070000133,233.596000156,"Right","Safebet","WouldHaveLost",0.4,10,8,20,10,0,10
51,234.617000065,235.384000025,236.265000067,236.285999975,236.810000143,"Left","Gamble","Win",0.6,12,12,20,20,8,10
52,237.831000051,238.597000084,239.91600009,239.938000164,240.463000021,"Right","Safebet","WouldHaveLost",0.2,10,3,15,10,0,10
53,241.484000168,242.249999962,243.28400012,243.304000101,243.828999958,"Right","Gamble","Win",0.9,18,18,20,20,2,10
54,244.849000177,245.614999971,246.484000168,246.505000076,247.030000172,"Right","Gamble","Win",0.9,18,18,20,20,2,10
55,248.05100008,248.816000185,249.741000137,249.762000046,250.285999975,"Right","Gamble","Win",0.7,14,14,20,20,6,10
56,251.307000122,252.074000082,252.986000023,253.006000004,253.532000027,"Right","Safebet","WouldHaveLost",0.2,10,3,15,10,0,10
57,254.553000174,255.31800004,256.114999971,256.136000118,256.660999975,"Left","Gamble","Win",0.8,24,24,30,30,6,20
58,257.680999956,258.446999989,259.30800005,259.328000031,259.854000053,"Right","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
59,260.874999962,261.640000067,262.930000029,262.95000001,263.476000032,"Right","Safebet","WouldHaveWon",0.5,10,10,20,10,0,-10
60,264.497000179,265.264000139,266.897999964,266.918000183,267.44300004,"Right","Safebet","WouldHaveWon",0.6,10,9,15,10,0,-5
61,268.464000187,269.229999981,270.423000059,270.44300004,270.968000135,"Right","Gamble","Loss",0.5,12.5,12.5,25,0,-12.5,-10
62,271.989000044,272.754000149,273.430999956,273.451000175,273.97699996,"Left","Gamble","Loss",0.8,12,12,15,0,-12,-10
63,274.996000013,275.762000046,277.27400013,277.294000111,277.818999968,"Right","Gamble","Loss",0.4,8,8,20,0,-8,-10
64,278.841000042,279.607000074,280.354000053,280.374000034,280.900000057,"Left","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
65,281.919000111,282.685000143,283.838000021,283.859000168,284.384000025,"Right","Gamble","Win",0.8,20,20,25,25,5,15
66,285.404000006,286.170999966,NA,288.196000061,288.719000063,"Timeout","Timeout","Timeout",0,0,0,0,0,0,0
67,289.739999971,290.504000149,291.522999964,291.543000183,292.06800004,"Left","Gamble","Win",0.6,18,18,30,30,12,20
68,293.089000187,293.854000053,295.055000029,295.076000175,295.601000032,"Right","Gamble","Win",0.5,10,10,20,20,10,10
69,296.621000013,297.387999973,298.173000059,298.193999968,298.718000135,"Left","Gamble","Win",0.6,18,18,30,30,12,20
70,299.739000044,300.502999983,301.695000133,301.715000114,302.239999971,"Right","Gamble","Win",0.7,21,21,30,30,9,20
71,303.260000191,304.025000057,304.997000179,305.01700016,305.542000017,"Left","Gamble","Loss",0.9,18,18,20,0,-18,-10
72,306.564000092,307.328999958,308.946999989,308.968000135,309.495000086,"Left","Gamble","Loss",0.4,10,10,25,0,-10,-10
73,310.515000067,311.281000099,312.408000193,312.428000174,312.953999958,"Right","Safebet","WouldHaveLost",0,10,0,25,10,0,10
74,313.976000032,314.742000065,315.804000101,315.82500001,316.349000177,"Left","Safebet","WouldHaveWon",0.1,10,3,30,10,0,-20
75,317.369000158,318.135000191,319.643000088,319.663999996,320.190000019,"Right","Safebet","WouldHaveWon",0.4,10,12,30,10,0,-20
76,321.211000166,321.97699996,323.311000071,323.331000051,323.858000002,"Right","Safebet","WouldHaveLost",0.1,10,1.5,15,10,0,10
77,324.877999983,325.644000015,326.621000013,326.640999994,327.167000017,"Left","Safebet","WouldHaveLost",0.2,10,3,15,10,0,10
78,328.188000164,328.952000103,330.318999968,330.339000187,330.864000044,"Left","Safebet","WouldHaveLost",0.5,10,7.5,15,10,0,10
79,331.885000191,332.64900013,333.603000126,333.624000034,334.147999964,"Right","Gamble","Win",0.7,14,14,20,20,6,10
80,335.168000183,335.93300005,337.035000048,337.055999956,337.581000051,"Right","Safebet","WouldHaveLost",0,10,0,30,10,0,10
81,338.60199996,339.366000137,341.326000175,341.346000156,341.872000179,"Right","Safebet","WouldHaveWon",0.4,10,12,30,10,0,-20
82,342.894000015,343.65900012,NA,345.68300005,346.206000051,"Timeout","Timeout","Timeout",0.8,0,20,0,0,0,0
83,347.226000032,347.992999992,348.953000031,348.973000011,349.499000034,"Right","Gamble","Loss",0.6,12,12,20,0,-12,-10
84,350.520000181,351.285000048,352.377000055,352.397999964,352.922000132,"Right","Gamble","Win",0.9,27,27,30,30,3,20
85,353.942000113,354.706999979,355.373000107,355.394000015,355.919000111,"Left","Gamble","Win",0.9,27,27,30,30,3,20
86,356.940000019,357.703999958,358.722000084,358.742999992,359.268000088,"Right","Gamble","Loss",0.7,17.5,17.5,25,0,-17.5,-10
87,360.288000069,361.052000008,362.201000175,362.221000156,362.746000013,"Right","Gamble","Win",0.7,21,21,30,30,9,20
88,363.765999994,364.532000027,365.871000013,365.893000088,366.417000017,"Right","Gamble","Win",0.5,10,10,20,20,10,10
89,367.436999998,368.202000103,369.561000071,369.581999979,370.107000074,"Right","Safebet","WouldHaveWon",0.4,10,8,20,10,0,-10
90,371.127999983,371.894000015,372.783000193,372.804000101,373.328999958,"Left","Gamble","Loss",0.5,15,15,30,0,-15,-10
91,374.349000177,375.116000137,375.885000191,375.905000172,376.430000029,"Left","Gamble","Loss",0.5,10,10,20,0,-10,-10
92,377.451000175,378.216999969,378.992000065,379.012000046,379.535999975,"Right","Safebet","WouldHaveWon",0.5,10,12.5,25,10,0,-15
93,380.557000122,381.324000082,382.363000116,382.383000097,382.908000193,"Right","Gamble","Win",1,30,30,30,30,0,20
